# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"MIDAMERICAN ERY3.90",MWPSL
"MIDAMERICAN ERY 3.75",MWPSM
"MIDAMERICAN ERY 4.20",MWPSP
"Mountains West Exploration Inc.",MWXI
"Matrix Energy Services Corp.",MXES
"MEXORO MINERALS LTD",MXOM
"MAX RESOURCE CORP",MXROF
"Matrixx Resource Holdings, Inc.",MXXR
"MUNCY BANK FINL (PA)",MYBF
"Golden Eagle International Inc.",MYNG
"MYRIAD ENTERTMT RSRT",MYRA
"NATURALLY ADVAN TECH",NADVF
"NORTH AMER NATRL GAS",NAGA
"North American Gaming & Entertainment Corp.",NAGM
"North Atlanta National Bank",NANB
"Nanoscience Technologies Inc.",NANS
"North American Technologies Group Inc.",NAMC
"NowAuto Group, Inc.",NAUG
"Navtech Inc.",NAVH
"Naturewell Inc.",NAWL
"Nayna Networks, Inc.",NAYN
"Northwest Bancorp., Inc.",NBCT
"National Bancshares Corp.",NBOH
"NCAL Bancorp",NCAL
"NATURE COAST BK (FL)",NCBF
"New Century Equity Holdings Corp.",NCEH
"New Century Energy Corp.",NCEY
"FIRST TRUST BANK (NC)",NCFT
"NATCO INTL INC",NCII
"NorCal Community Bancorp",NCLC
"North Coast Life Insurance Co.",NCLI
"NORTH COAST LIFE P",NCLIP
"New Century Companies Inc.",NCNC
"Nascent Wine Co. Inc.",NCTW
"Nathaniel Energy Corp.",NECX
"National Energy Group Inc.",NEGI
"NORTHSTAR ELECTRNCS",NEIK
"NeoMedia Technologies Inc.",NEOM
"Neoprobe Corp.",NEOP
"NESS ENERGY INTL INC",NESSE
"NetFabric Holdings, Inc.",NFBH
"New Frontier Energy, Inc.",NFEI
"NETFONE INC",NFON
"NoFire Technologies Inc.",NFTI
"NEVADA GEOTHERMAL PW",NGLPF
"Next Generation Media Corp.",NGMC
"Neogenomics Inc.",NGNM
"New Generation Holdings Inc.",NGPX
"netGuru Inc.",BPOM
"National Holdings Corp.",NHLD
"National Health Partners Inc.",NHPR
"Northeast Indiana Bancorp Inc.",NIDB
"Nighthawk Systems Inc.",NIHK
"Non-Invasive Monitoring Systems Inc.",NIMU
"National Investment Managers, Inc.",NIVM
"New Jersey Mining Co.",NJMC
"NEW MEDIUM ENTERPRIS",NMEN
"NewMarket Technology Inc.",NMKT
"NEW MILLENNIUM BK NJ",NMNB
"New Mexico Software, Inc.",NMXC
"NaturalNano Inc.",NNAN
"Nanobac Pharmaceuticals Inc.",NNBP
"NANO JET CORP",NNJT
"Nano-Proprietary Inc.",NNPP
"Nanosensors Inc.",NNSR
"NATURAL NUTRITION",NNTN
"Nocopi Technologies Inc.",NNUP
"NORTH DALLAS BK&TR CO TEX",NODB
"National Patent Development Corp.",NPDV
"Nutra Pharma Corp.",NPHC
"National Quality Care Inc.",NQCI
"Neurologix Inc.",NRGX
"National Realty and Mortgage, Inc.",NRMG
"Noble Roman's Inc.",NROM
"NorPac Technologies Inc.",NRPT
"NARROWSTEP INC",NRWS
"NORSAT INTL INC",NSATF
"North State Bancorp",NSBC
"Northern Star Financial Inc.",NSBK
"National Scientific Corp.",NSCT
"NS8 Corp.",NSEO
"NANO SUPERLATTICE",NSLT
"Nuclear Solutions Inc.",NSOL
"Network-1 Security Solutions Inc.",NSSI
"National Steel Corp.",NSTLQ
"NuTech Digital Inc.",NTDL
"Notify Technology Corp.",NTFY
"NT HOLDING CORP",NTHH
"NEWTECH RESOURCES",NTHR
"NORTHCORE TECHNOLOGS",NTLNF
"Neutron Enterprises Inc.",NTRN
NutraCea,NTRZ
"Nettel Holdings Inc.",NTTL
"NEW TAOHUAYUAN CULTR",NTYN
"NORTHUMBERLAND BANCORP",NUBC
"New ULM Telecom Inc.",NULM
"NuVim Inc.",NUVM
"NUVIM INC WTS A",NUVMW
"NUVIM INC WTS B",NUVMZ
"NASHVILLE BK & TR TN",NVBT
"N-Viro International Corp.",NVIC
"Novelos Therapeutics, Inc.",NVLT
"NAVSTAR MEDIA HDGS",NVMH
"Novint Technologies Inc.",NVNT
"Nevada Star Resource Corp.",NVSRF
"New World Brands Inc.",NWBD
"NORTHWESTERN BCP MI",NWBM
"Newnan Coweta Bancshares Inc.",NWCB
"NETWORK CN INC",NWCN
"Northwest Indiana Bancorp",NWIN
"New Life Scientific Inc.",NWLS
"NORTHWESTERN MINERAL",NWTMF
"NextPhase Wireless Inc.",NXPW
"Nextera Enterprises Inc.",NXRA
"Next Inc.",NXTI
"Synthetech Inc.",NZYM
"Oakridge Energy Inc.",OAKR
"ORBITAL CORP LTD",OBTLY
"Orange County Business Bank, NA",OCBB
"Oceanic Exploration Co.",OCEX
"OC Financial Inc.",OCFL
"Octus Inc.",OCTI
"OCTILLION CORP NEW",OCTL
"ODYNE CORPORATION",ODYC
"ORBIT E-COMMERCE INC",OECI
"Open Energy Corp.",OEGY
"ORION ETHANOL INC",OEHL
"ORGANETIX INC",OGTX
"ORACLE HEALTH ACQ",OHAQ
"Oracle Healthcare Acquisition Corp.",OHAQU
"ORACLE HEALTH ACQ WT",OHAQW
"OLD HARBOR BK FL",OHBK
"OHIO POWER CO 4.50",OHIPM
"OHIO POWER CO 4.40",OHIPN
"OHIO POWER CO 4.20",OHIPO
"OHIO POWER CO 4.08",OHIPP
"Ophthalmic Imaging Systems Inc.",OISI
"OJAI COMMUNITY BK CA",OJCB
"OAK Financial Corp.",OKFC
"Oak Ridge Micro-energy Inc.",OKME
"Oakridge Holdings Inc.",OKRG
"Osteologix, Inc.",OLGX
"OmniComm Systems Inc.",OMCM
"Omega Ventures Group Inc.",OMGV
"Omtool Ltd.",OMTL
"One Voice Technologies Inc.",ONEV
"ON THE GO HLTHCARE",ONGO
"1-900 Jackpot, Inc.",ONJP
"OnScreen Technologies Inc.",ONSC
"Online Vacation Center Holdings Corp",ONVC
"Odyssey Oil & Gas, Inc.",OOGI
"Optionable Inc.",OPBL
"Oregon Pacific Bancorp",OPBP
"OurPets Co.",OPCO
"Optigenex Inc.",OPGX
"Opti Inc.",OPTI
"Optio Software Inc.",OPTO
"Orion Diversified Technologies Inc.",ORDT
"ORBIT/FR Inc.",ORFR
"ORAMED PHARMACEUTICL",ORMP
"Oranco Inc.",ORNC
"Orrstown Financial Services Inc.",ORRF
"OSI GEOSPATIAL INC",OSIIF
"Ortec International Inc.",OTCI
"Op-Tech Environmental Services Inc.",OTES
"OPTIMUM INTERACTIVE",OTMI
"OTTER TAIL CORP",OTTRO
"Ottawa Savings Bancorp, Inc.",OTTW
"Oak Valley Community Bank",OVYB
"Oxford Bank Corp.",OXBC
"OXFORD INVESTMENTS H",OXIHF
"OXIS International Inc.",OXIS
"Precision Auto Care Inc.",PACI
"Pacific Alliance Corp.",PALC
"Pangea Petroleum Corp.",PAPO
"PONIARD PHARMA PFD",PARDP
"Paradise Inc.",PARF
"Patapsco Bancorp Inc.",PATD
"Paivis Corp.",PAVC
"PACIFIC NORTHWES CAP",PAWEF
"Paid Inc.",PAYD
"Pay88, Inc.",PAYI
"Professional Business Bank",PBBK
"PRIVATE BANK OF CA",PBCA
"Peoples Bancorp. Inc.",PBCE
"PEOPLES BK OF COM OR",PBCO
"Pacific Biometrics Inc.",PBME
"PURE BIOFUELS CORP",PBOF
"PITNEY BOWES4.00 PFD",PBOWP
"Private Bank of The Peninsula",PBPC
"Premier Commercial Bancorp",PCBP
"PASCACK COMM BK (NJ)",PCCB
"PACIFIC GOLD CORP",PCFG
"PACIFIC HARBOUR CAP",PCFHF
"Protocall Technologies Inc.",PCLI
"PACIFICORP 5.40 PFD",PCPWP
"Pacific Coast National Bancorp.",PCST
"PCS Edventures.com Inc.",PCSV
"Park City Group Inc.",PCYG
"PANDA ETHANOL INC",PDAE
"PureDepth, Inc.",PDEP
"PDG Environmental Inc.",PDGE
"Paradigm Holdings Inc.",PDHO
"Power Efficiency Corp.",PEFF
"Pluris Energy Group, Inc.",PEYG
"Pacific Fuel Cell Corp.",PFCE
"Pacific Commerce Bank NA",PFCI
"Peoples Financial Services Corp.",PFIS
"Pacific Financial Corp.",PFLC
"Perfisans Holdings Inc.",PFNH
"PLYMOUTH FINANCL MI",PFNL
"Penseco Financial Services Corp.",PFNS
"PERPETUAL FED SV OH",PFOH
"PACIFIC SANDS INC",PFSDE
"Puradyn Filter Technologies Inc.",PFTI
"PARAMOUNT GOLD MINNG",PGDP
"Primegen Energy Corp.",PGNEE
"PARAGON NATL BK (TN)",PGNN
"PATRIOT GOLD CORP",PGOL
"Proguard Acquisition Corp",PGRD
"PLATINUM ENERGY",PGRI
"Platinum Energy Resources Inc.",PGRIU
"PLATINUM ENERGY WT",PGRIW
"Pegasus Wireless Corp.",PGSW
"Pacific Health Care Organization Inc.",PHCO
"PHANTOM FIBER CORP",PHFB
"Pacer Health Corp.",PHLH
"Pacifichealth Laboratories Inc.",PHLI
"Photonics Products Group Inc.",PHPG
"Pharsight Corp.",PHST
"Photoworks Inc.",PHTW
"PetroHunter Energy Corporation",PHUN
"Piedmont Mining Co.Inc",PIED
"Pekin Life Insurance Co.",PKIN
"PacketPort.com Inc.",PKPT
"PROTOKINETIX INC",PKTX
N/A,PKWY
"Proton Laboratories Inc.",PLBI
"PlanetLink Communications Inc.",PLKC
"Prolink Holdings Corp.",PLKH
"Palomar Enterprises Inc.",PLMA
"Planet Technologies Inc.",PLNT
"PLURISTEM LIFE SYS",PLRS
"Platina Energy Group Inc.",PLTG
"POLY PACIFIC INTL",PLYPF
"PLAZA BANK (CA)",PLZB
"Paradigm Medical Industries Inc.",PMED
"Probe Manufacturing Inc.",PMFI
"PRIME BANK (CT)",PMHV
"PARAMOUNT ACQ CP",PMQC
"Paramount Acquisition Corp.",PMQCU
"PARAMOUNT ACQ CP WT",PMQCW
"PAN AMERICAN GOLD CP",PNAMF
"Pioneer Bankshares Inc.",PNBI
"PNG Venture Inc.",PNGX
"PINNACLE BANK OF OR",PNNB
"Players Network",PNTV
"Prineville Bancorp.",PNVL
"PHOTOCHANNEL NWK NEW",PNWIF
"Penn Octane Corp.",POCC
"Precision Optics Corp. Inc.",POCI
"PIONEER OIL & GAS NEW",POGS
"Petrol Oil and Gas Inc.",POIG
"Polymer Group Inc.",POLGA
"POLYMER GRP CL B",POLGB
"Pop N Go Inc.",POPN
"Positron Corp.",POSC
"Pinnacle Bankshares Corp.",PPBN
"Pipeline Data, Inc.",PPDA
"PIPELINE DATA WT B",PPDAZ
"PAN PACIFIC BANK CA",PPFC
"PRIME PACIFIC FNL WA",PPFS
"Prescient Applied Intelligence Inc.",PPID
"People's Liberation, Inc.",PPLB
"PURCHASE PT MEDIA CO",PPMC
"Protein Polymer Technologies Inc.",PPTI
"PACIFICORP 4.72 PFD",PPWLL
"PACIFICORP 7.00 PFD",PPWLM
"PACIFICORP 6% PFD",PPWLO
"PACIFICORP 5.00 PFD",PPWRL
"PACIFICORP 4.56 PFD",PPWRM
"Pricester.com, Inc.",PRCC
"President Casinos Inc.",PREZQ
"PREFERRED VOICE NEW",PRFV
"Proginet Corp.",PRGF
"Paragon Real Estate Equity & Investment Trust",PRLE
"ProUroCare Medical Inc.",PRRC
"PORTRUSH PETROLEUM",PRRPF
"Portsmouth Square Inc.",PRSI
"Profile Technologies Inc.",PRTK
"Protalex Inc.",PRTX
"POWDER RIVER BS GAS",PRVB
"PSB Group Inc.",PSBG
"PREMIER SVC BK CA",PSBK
"PSB Holdings Inc.",PSBQ
"ProtoSource Corp.",PSCO
"Peoples-Sidney Financial Corp.",PSFC
"PUBLIC SVC CO OKLA 4.00 PFD",PSOKM
"PUBLIC SVC CO OKLA 4.24 PFD",PSOKN
"PUGET SOUND ENE 4.84",PSPLP
"Potomac Bancshares Inc.",PTBS
"PATCH INTL INC",PTCH
"Proteo Inc.",PTEO
"PETAQUILLA MINERALS",PTQMF
"Patriot Investment Corp.",PTRT
"Patriot Scientific Corp.",PTSC
"POINTS INTL LTD",PTSEF
"Petrosearch Energy Corp.",PTSG
"PTS Inc.",PTSH
"Public Company Management Corp.",PUBC
"PUDA COAL NEW",PUDC
"Pacific Valley Bank",PVBK
"Provectus Pharmaceuticals, Inc.",PVCT
"Pavilion Bancorp Inc.",PVLN
"Premier Valley Bank",PVLY
"PINE VALLEY MINING",PVMCE
"Prevention Insurance.com",PVNC
"PROVIDENCE RESOURCES",PVRS
"Power Air Corp.",PWAC
"Pacific West Bank",PWBO
"Pacific Webworks Inc.",PWEB
"Powerlinx Inc.",PWNX
"Power 3 Medical Products Inc.",PWRM
"POWER SAVE ENERGY CO",PWSV
"PHOENIX INDIA ACQ",PXIA
"Phoenix India Acquisition Corp.",PXIAU
"PHOENIX INDIA ACQ WT",PXIAW
"Phoenix Interests Inc.",PXIT
"Payment Data Systems Inc.",PYDS
"POLYMEDIX INC",PYMX
"Porta Systems Corp.",PYTM
"PhytoMedical Technologies Inc.",PYTO
"Cubic Energy Inc.",QBIK
"QUANTUM ENERGY INC",QEGY
"QI SYSTEMS INC (DE)",QIII
"QuoteMedia Inc.",QMCI
"Quick-Med Technologies Inc.",QMDT
"QualMark Corp.",QMRK
"QNB Corp.",QNBC
"QPC Lasers, Inc.",QPCI
"QRS Music Technologies Inc.",QRSM
"QSGI, INC",QSGI
"Quintek Technologies Inc.",QTEK
"Quadtech International, Inc.",QTII
"QUANTUM MRI INC",QTMR
"QuantRX Biomedical Corporation",QTXB
"Rubicon Financial Incorporated",RBCF
"Royal Bodycare Inc.",RBCL
"Roebling Financial Corp Inc.",RBLG
"Reclamation Consulting and Applications Inc.",RCAA
"RIVER CAPITAL GROUP",RCGI
"RACINO ROYALE INC",RCNR
"ROCHESTER RESOURCES",RCTFF
"Receivable Acquisition and Management Corp.",RCVA
"Reddi Brake Supply Corp.",RDDI
"Ridgefield Acquisition Corp.",RDGA
"RADIUS GOLD INC",RDUFF
"RadView Software Ltd.",RDVWF
"Reliability Inc.",REAL
"Remote Dynamics Inc.",REDI
"REG TECHNOLOGIES",REGRF
"REMEC Inc.",REMC
"REMEDENT INC",REMI
"Radial Energy Inc.",RENG
"Repro-Med Systems Inc.",REPR
"Rumson-Fair Haven Bank & Trust Co.",RFHB
"RESOURCE FIN & INVMT",RFIVF
"ReGen Biologics Inc.",RGBI
"RG Global Lifestyles, Inc.",RGBL
"ROO Group Inc.",RGRP
"REGI US INC",RGUS
"Renhuang Pharmaceuticals, Inc.",RHGP
"RICOH CO LTD SP ADR",RICOY
"Robocom Systems International Inc.",RIMS
"George Risk Industries Inc.",RISKA
"Rockelle Corp.",RKLC
"Remote Knowledge Inc.",RKNW
"Rocketinfo Inc.",RKTI
"Radiant Logistics, Inc.",RLGT
"RIPPLE LAKE DIAMONDS",RLLKF
"Remote Mdx Inc.",RMDX
"ROCKY MTN FUDGE CO",RMFD
"RMG CAP CORP",RMGC
"Rocky Mountain Minerals Inc.",RMMI
"ROCKY MTN MINERALS CV PFD",RMMIP
"Rancher Energy Corp.",RNCH
"Renovo Holdings",RNVO
"Regal One Corp.",RONE
"Rotoblock Corp.",ROTB
"RESPONSE BIOMEDICAL",RPBIF
"Rapid Link Inc.",RPID
"RPM TECHS INC",RPMM
"ROCKPORT NATL BANCP",RPOR
"Rhapsody Acquisition Corp",RPSDU
"Raptor Networks Technology Inc.",RPTN
"Raptor Pharmaceuticals Corp.",RPTP
"RED ROCK PICTURE HLD",RRPH
"RISING SUN BCP (MD)",RSAM
"REFLECT SCIENTIFIC",RSCF
"Resolve Staffing, Inc.",RSFF
"Rim Semiconductor Co.",RSMI
"Reserve Petroleum Co.",RSRV
"RESIN SYSTEMS INC",RSSYF
"Rub A Dub Soap Inc.",RUBD
"RIVERGREEN BANK (ME)",RVGR
"Rexahn Pharmaceuticals, Inc.",RXHN
"Royal Financial Inc.",RYFL
"Royal Quantum Group, Inc.",RYQG
"Royal Standard Minerals Inc.",RYSMF
"Saehan Bancorp",SAEB
"SAIGON NATIONAL BK",SAGN
"Samsonite Corp.",SAMC
"SMITH A O CP CL A",SAOSA
"STATE BANK CORP AZ",SBAZ
"Security Business Bank of San Diego",SBBK
"Southeastern Bank Financial Corporation",SBFC
"Subjex Corp.",SBJX
"Sonoma Valley Bancorp",SBNK
"SECURITY BANK OF CA",SBOC
"Siboney Corp.",SBON
"St. Bernard Software, Inc.",SBSW
"ST. BERNARD SFTW UNI",SBSWU
"ST. BERNARD SFT WTS",SBSWW
"SBT Bancorp, Inc.",SBTB
"SEACOAST COMMERCE BK",SCCB
"Superconductive Components Inc.",SCCI
"SOUTH CARLN E&G 4.50",SCEGN
"SUN CAL ENERGY INC",SCEY
"Sterling Chemicals Inc.",SCHI
"Spectrascience Inc.",SCIE
"Scailex Corp., Ltd.",SCIXF
"Stem Cell Innovations, Inc.",SCLL
"Scientific Industries Inc.",SCND
"Scanner Technologies Corp.",SCNI
"Sharps Compliance Corp.",SCOM
"Scores Holding Co. Inc.",SCRH
"SouthCrest Financial Group Inc.",SCSG
"SANTA CLARA VALLEY",SCVE
"Security Bancorp Inc.",SCYT
"Santa Cruz County Bank",SCZC
"SAN DIEGO TR BK (CA)",SDBK
"SECURITY DEVICE INTL",SDEV
"Secured Digital Applications Inc.",SDGL
"Sedona Corp.",SDNA
"SAN DIEGO GAS & EL 4.60 PFD",SDOGP
"Sandston Corp.",SDON
"SILVER DRAGON RES",SDRG
"Secured Diversified Investments Ltd.",SDVF
"Seaena, Inc.",SEAI
"Southeastern Banking Corp.",SEBC
"Sense Holdings Inc.",SEHO
"SENECA FOODS CV PFD",SENEL
"SENECA FOODS $12 PFD",SENEM
"SENTINEL SEC LIF INS",SENI
"Service Bancorp Inc.",SERC
"Star Energy Corp.",SERG
"SES SOLAR INC",SESI
"SUMMIT ENVIRONMENTAL",SEVTE
"Sew Cal Logo Inc.",SEWC
"Signature Eyewear Inc.",SEYE
"Sunrise Energy Resources, Inc.",SEYR
"Safe Technologies International Inc.",SFAD
"SFSB Inc.",SFBI
"Security Federal Corp.",SFDL
"Santa Fe Financial Corp.",SFEF
"Siuslaw Financial Group, Inc.",SFGP
"SAFLINK Corp.",SFLK
"Secured Financial Network Inc.",SFNL
"Summit Financial Services Group Inc.",SFNS
"SinoFresh Healthcare Inc.",SFSH
"Serefex Corp.",SFXC
"SINO GAS INTL HLDGS",SGAS
"Stonegate Bank",SGBK
"Sterling Gold Corp.",SGCO
"STARGOLD MINES INC",SGDM
"STERLING GROUP VENTU",SGGV
"Sungold International Holdings Corp.",SGIHF
"Signature Leisure Inc.",SGLS
"Strategic Gaming Investments, Inc.",SGME
"Sanguine Corp.",SGNC
"Songzai International Holding Group Inc.",SGZI
"SHARPE RESOURCE CP",SHGPF
"Shells Seafood Restaurants Inc.",SHLL
"SearchHelp Inc.",SHLP
"SEARCHHELP INC WT A",SHLPW
"SEARCHHELP INC WT B",SHLPZ
"Shumate Industries, Inc.",SHMT
"Specialized Health Products International Inc.",SHPI
"SHORE COMMUNITY BK",SHRC
"Shelron Group Inc.",SHRN
"Silver Butte Company",SIBM
"Siberian Energy Group Inc.",SIBN
"SIENA TECHNOLOGIES",SIEN
"STRATEGIC INTERNET",SIII
"Sino-Biotics Inc.",SINB
"SIONIX CORPORATION",SINX
"Superior Oil & Gas Co.",SIOR
"Siricomm Inc.",SIRC
"Security Intelligence Technologies Inc.",SITG
"San Joaquin Bancorp",SJQU
"SKYSTAR BIO PHARMA",SKBI
"Sagemark Companies Ltd.",SKCO
"SKYFLYER INC",SKFL
"StrikeForce Technologies, Inc.",SKFT
"Skins Inc.",SKNN
"Sky Petroleum Inc.",SKPI
"Skinvisible Inc.",SKVI
"Sentry Technology Corp.",SKVY
"SkyTerra Communications Inc.",SKYT
"SKYE International Inc.",SKYY
"Santa Lucia Bancorp",SLBA
"Scott's Liquid Gold Inc.",SLGD
"SecureLogic Corp.",SLGI
"SILVERADO GOLD MINES",SLGLF
"STALLION GROUP (THE)",SLGR
"SORELL INC",SLLIE
"Splinternet Holdings Inc",SLNH
"SALON MEDIA GRP NEW",SLNM
"SOLAR ENERGY LTD",SLRE
"Seamless Wi-Fi Inc.",SLWF
"STELLAR PHAMACEUTICL",SLXCF
"SUMMIT BANCSHARES CA",SMAL
"Standard Management Corp.",SMAN
"Stamford Bank Corp.",SMFB
"Smart Energy Solutions Inc.",SMGY
"Smith-Midland Corp.",SMID
"Simtrol Inc.",SMRL
"SMARTIRE SYSTEMS",SMTR
"SAMEX MINING CORP",SMXMF
"SOUND BANKING CO.",SNBN
"SOUND BANKING CO PFD",SNBNP
"Southern Community Bancshares Inc.",SNCB
"SendTec Inc.",SNDN
"SAND TECH INC CL A",SNDTF
"Sin Holdings Inc",SNHI
"San Luis Trust Bank FSB",SNLS
"Sona Mobile Holdings Corp.",SNMB
"SUN MOTOR INTL",SNMO
"Sun River Energy, Inc.",SNRV
"Sense Technologies Inc.",SNSG
"SENETEK PLC ADR",SNTKY
"SENTEX SENSING TECH",SNTX
"Synova Healthcare Group, Inc.",SNVH
"Satellite Newspapers Corp.",SNWP
"SOIL BIOGENICS LTD",SOBGF
"SOLVAY BANK CP (NY)",SOBS
"Solitron Devices Inc.",SODI
"SOUTH CARLN E&G 4.60",SOEGO
"Solar Enertech Corp.",SOEN
"SofTech Inc.",SOFT
"STRATA OIL & GAS INC",SOIGF
"Solomon Technologies Inc.",SOLM
"Solutia Inc.",SOLUQ
"Southern Michigan Bancorp Inc.",SOMC
"Studio One Media, Inc.",SOMD
"Sontra Medical Corp.",ECTE
"SOUTHRIDGE ENTPRISES",SORD
"Somerset International Group Inc.",SOSI
"STORAGE COMPUTER CP",SOSO
"Senior Optician Service Inc.",SOSV
"Sono-Tek Corp.",SOTK
"Soyodo Group Holdings Inc.",SOYD
"American Soil Technologies Inc.",SOYL
"Soyo Group Inc.",SOYO
"Spatializer Audio Laboratories Inc.",SPAZ
"Spare Backup, Inc.",SPBU
"Sportsnuts Inc.",SPCI
"Superclick Inc.",SPCK
"SpaceDev Inc.",SPDV
"Speedemissions Inc.",SPMI
"Spindletop Oil & Gas Co.",SPND
"Sequiam Corp.",SQUM
"Searchlight Minerals Corp.",SRCH
"Sparta Commercial Services Inc.",SRCO
"STARFIELD RES INC",SRFDF
"Surge Global Energy, Inc.",SRGG
"Sierra Monitor Corp.",SRMC
"Southern Banc Co. Inc.",SRNN
"Saratoga Resources Inc.",SROE
"SUNRISE REAL EST GRP",SRRE
"STELLAR RESOURCES",SRRL
"SOUND REVOLUTION INC",SRVN
"Surrey Bancorp",SRYB
"Southern Sauce Co. Inc.",SSAU
"South Street Financial Corp.",SSFC
"SOUTHSHORE COMTY BK",SSHC
"SOUTH SHORE RESOURCE",SSHO
"Systems Management Solutions Inc.",SSMG
"StatSure Diagnostic Systems, Inc.",SSUR
"Stratus Services Group Inc.",SSVG
"SpeechSwitch Inc.",SSWC
"Sub Surface Waste Management of Delaware Inc.",SSWM
"Sturgis Bancorp Inc.",STBI
"Statmon Technologies Corp.",STCA
"Standard Energy Corp.",STDE
"Standard Drilling, Inc.",STDR
"Startech Environmental Corp.",STHK
"StarInvest Group Inc.",STIV
"Stinger Systems Inc.",STIY
"St Joseph Inc.",STJO
"St. Lawrence Seaway corp.",STLS
"Solution Technology International Inc.",STNL
"Strategic Acquisitions Inc.",STQN
"Softnet Technology Corp.",STTC
"Smart-Tek Solutions Inc.",STTK
"South Texas Oil Co.",STXX
"SURFECT HOLDINGS INC",SUFH
"Sutura, Inc.",SUTU
"Sub-Urban Brands, Inc.",SUUB
"SUNWIN INTL NEUTRACL",SUWN
"Service First Bancorp",SVCF
"Silvergraph International Inc.",SVGI
"Silver Pearl Enterprises Inc.",SVPE
"Silver Star Energy Inc.",SVSE
"Stereo Vision Entertainment Inc.",SVSN
"SheerVision, Inc.",SVSO
"Sovereign Exploration Associates International, Inc.",SVXA
"Sunwest Bank",SWBC
"Southwest Casino Corp.",SWCC
"STOCKGROUP INFO SYS",SWEB
"SWISS MEDICA INC",SWME
"SWMX, Inc.",SWMX
"Seawright Holdings Inc.",SWRI
"SOUTHWESTERN ELEC PWR 5.00 PFD",SWSEO
"SOUTHWESTERN ELEC PWR 4.28 PFD",SWSEP
"SWEET SUCCESS ENTERP",SWTS
"Southwall Technologies Inc.",SWTX
"Synthetic Blood International Inc.",SYBD
"SYNTEC BIOFUEL INC",SYBF
"Symbollon Pharmaceuticals Inc.",SYMBA
"SyntheMed Inc.",SYMD
"Sitestar Corp.",SYTE
"Synovics Pharmaceuticals, Inc.",SYVC
"SysView Technology, Inc.",SYVT
"SouthFirst Bancshares Inc.",SZBI
"TACTICAL AIR DEFENSE",TADF
"TAG ENTERTAINMENT CP",TAGEE
"TAG OIL LTD",TAGOF
"TRANSAKT LTD",TAKDF
"TRANSNATL AUTO GRP",TAMG
"TAO MINERALS LTD",TAOL
"Transgenomic Inc.",TBIO
"Table Trac Inc.",TBTC
"T-Bay Holdings, Inc.",TBYH
"TenderCare International Inc.",TCAR
"TUSCANY MINERALS LTD",TCAY
"Technical Communications Corp.",TCCO
"Tri-County Financial Corp.",TCFC
"TraceGuard Technologies Inc.",TCGD
"Tristone Community Bank",TCMB
"Technest Holdings Inc.",TCNH
"TechnoConcepts Inc.",TCPS
"TC X Calibur Inc.",TCXC
"TRANSCOMMUNITY FINL",TCYF
"Third Century Bancorp.",TDCB
"Thermodynetics Inc.",TDYT
"Golf Rounds.com Inc.",TEEE
"TERRA ENERGY & RES",TEGRE
"Tejas Inc.",TEJS
"Teltronics Inc.",TELT
"TenFold Corp.",TENF
"TelVue Corp.",TEVE
"TELEFONICA ARGENT B",TFOBF
"TIGER ETHANOL INTL",TGEI
"TGFIN Holdings Inc.",TGFN
"Theglobe.com Inc.",TGLO
"TH Lehman & Co. Inc.",THLM
"Thunder Mountain Gold Inc.",THMG
"THINKPATH INC",THPHF
"Thorium Power, Ltd.",THPW
"Tidelands Oil & Gas Corp.",TIDE
"Time Lending California, Inc.",TIML
"Tidelands Royalty Trust B",TIRTZ
"Tri-Isthmus Group, Inc.",TISG
"Titan Technologies Inc.",TITT
"Tix Corporation",TIXC
"Teeka Tan Products Inc.",TKAT
"Tasker Products Corp.",TKER
"Teknik Digital Arts Inc.",TKNK
"TELECONNECT INC",TLCO
"Total Luxury Group Inc.",TLEI
"Trestle Holdings Inc.",TLHO
"Teleplus Enterprises, Inc.",TLPE
"TALLY HO VENTURES",TLYH
"Trimedyne Inc.",TMED
"TriMedia Entertainment Group Inc.",TMEG
"Thermoenergy Corp.",TMEN
"Timeline Inc.",TMLN
"Trimol Group Inc.",TMOL
"TRIMAX CORPORATION",TMXO
"True North Energy Corporation",TNEN
"TNR Technical Inc.",TNRK
"Terra Nostra Resources Corp.",TNRO
"Transbotics Corp.",TNSB
"Transax International Ltd.",TNSX
"Telanetix, Inc.",TNXI
"Treaty Oak Bancorp Inc.",TOAK
"Tower Bancorp Inc.",TOBC
"Tornado Gold International Corp.",TOGI
"TRANS-ORIENT PETROLM",TOPLF
"Torvec, Inc.",TOVC
"Towne Bank",TOWN
"True Product ID, Inc.",TPDI
"TRIANGLE PETROLEUM",TPLM
"Trackpower Inc.",TPWR
"Turbodyne Technologies, Inc.",TRBD
"Torbay Holdings Inc.",TRBY
"Tradequest International Inc.",TRDQ
"Trudy Corp.",TRDY
"Torrent Energy Corp.",TREN
"TheRetirementSolution.com, Inc.",TRES
"TRICO MARINE SV WT A",TRMAW
"TRICO MARINE SV WT B",TRMAZ
"TransNet Corp.",TRNT
"Tripos Inc.",TRPS
"Transtech Industries Inc.",TRTI
"TRI-VALLEY BANK",TRVB
"TSB FINANCIAL CORP",TSBC
"Tri-State First Banc, Inc.",TSEO
"TISSERA INC",TSSR
"TouchStone Software Corp.",TSSW
"TURBOSONIC TECHNOLOGIES INC",TSTA
"Triton Distribution Systems, Inc.",TTDS
