# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"Chembio Diagnostics Inc.",CEMI
"CepTor Corp.",CEPO
"Cereplast Inc.",CERP
"CDex, Inc.",CEXI
"Community First Bancorp Inc.",CFBC
"CNB Financial Corp.",CFNA
"Community First Bancorp.",CFOK
"COFFEE PACIFICA INC",CFPC
"Commerce Group Corp.",CGCO
"CareGuide, Inc.",CGDE
"COLOMBIA GOLDFIELDS",CGDF
"Capital Gold Corp.",CGLD
"Cognigen Networks Inc.",CGNW
"COUGAR HOLDINGS INC",CGRH
"Ceragenix Phamaceuticals Inc.",CGXP
"China Agro Sciences Corp.",CHAS
"Bernard Chaus Inc.",CHBD
"Croghan Bancshares Inc.",CHBH
"CHINA BIOPHARMA HLDG",CHBP
"CHINA BIOTICS INC",CHBT
"CHINA 3C GROUP",CHCG
"Comprehensive Care Corp.",CHCR
"China Finance Inc.",CHFI
"Charter Financial Corp.",CHFN
"CHINA FRUITS CORP",CHFR
"CENTRAL HUDSON G & E 4.75 PFD",CHGEM
"CENTRAL HUDSON G & E 4.50 PFD",CHGEN
"CHINA DIGITAL COMM",CHID
"Cherokee Banking Co.",CHKJ
"CHEMOKINE THERAPEUT",CHKT
"CHINA HOUSING & LAND",CHLN
"China Media Group Corp.",CHMD
"Chemung Financial Corp.",CHMG
"CHINA NATURAL GAS",CHNG
"CHARTER OAK BANK CA",CHOB
"Chinawe.com Inc.",CHWE
"Chartwell International, Inc.",CHWN
"Communication Intelligence Corp.",CICI
"CENTRAL ILL LT 4.64",CILTL
"Crystal International Travel Group, Inc.",CINT
"CENTRAL ILL PUB 4.92",CIPSM
"CENTRAL ILL PUB  4",CIPSN
"CENTRAL ILL PUB 4.9",CIPSO
"Children's Internet Inc.",CITC
"CHINA INDUSTRL WASTE",CIWT
"Citizens Financial Corp.",CIWV
"CKF Bancorp Inc.",CKFB
"CHINA KANGTAI CACTUS",CKGT
"Ckrush, Inc.",CKRH
"Clarkston Financial Corp.",CKSB
"Claimsnet.com Inc.",CLAI
"Columbia Commerical Bancorp",CLBC
"CalbaTech, Inc.",CLBE
"COLUMBIA FINL CORP",CLBF
"Cellegy Pharmaceuticals Inc.",CLGY
"clickNsettle.com Inc.",CLIK
"CALCITECH LTD",CLKTF
"CLARUS CORP",CLRS
"Cobalis Corp.",CLSC
"Clancy Systems International Inc.",CLSI
"CLX Investment Company Inc.",CLXN
"Clyvia Inc.",CLYV
"Camelot Entertainment Group, Inc.",CMEG
"Comprehensive Healthcare Solutions Inc.",CMHS
"Consolidated Medical Management Inc.",CMMI
"Community National Corp. (OH)",CMNC
"COMMUNICATE.COM INC",CMNN
"Commercial Bancshares Inc.",CMOH
"Compumed Inc.",CMPD
"Caminosoft Corp.",CMSF
"COMMUNITY BK BERG NJ",CMTB
"Community Bancorp",CMTV
"COMTEX News Network Inc.",CMTX
"Cimetrix Inc.",CMXX
"Commerce National Bank (Fullerton, CA)",CNBF
"Concierge Technologies Inc.",CNCG
"Connected Media Technologies Inc.",CNCM
"CinTel Corp.",CNCN
"Connetics Corporation",CNCT
"China North East Petroleum Holdings Ltd.",CNEH
"Conectisys Corp.",CNES
"Corning Natural Gas Corp.",CNIG
"CONN LT & PWR $3.24",CNLPL
"CONN LT & PWR $2.06",CNLPM
"CONN LT & PWR $2.00",CNLTN
"CONN LT & PWR $2.20",CNLTP
"Canandaigua National Corp.",CNND
"CONN LT & PWR $2.04",CNPWP
"CenterStaging Corp.",CNSC
"Centale Inc.",CNTL
"COCONUT PALM ACQ CP",CNUT
"Coconut Palm Acquisition Corp.",CNUTU
"COCONUT PALM ACQ WT",CNUTW
"Colonial Virginia Bank",CNVB
"CVF Technologies Corp.",CNVT
"Cistera Networks Inc.",CNWT
"COUNTY COMMERCE BK",CNYB
"C2 Global Technologies Inc.",COBT
"COASTAL CARIBBEAN",COCBF
"Croff Enterprises Inc.",COFF
"ChoiceOne Financial Services Inc.",COFS
"CALIFORNIA OIL & GAS",COGC
"CHEETAH OIL & GAS",COGL
"Corgenix Medical Corp.",CONX
"CopyTele Inc.",COPY
"Cordia Corp.",CORG
"CALIFORNIA OAKS BK",COSB
"Cover-All Technologies Inc.",COVR
"Canal Capital Corp.",COWP
"CANAL CAPITL 1.30 PF",COWPP
"CPC of America Inc.",CPCF
"CHINA PROPERTIES DEV",CPDV
"Chapeau Inc.",CPEU
"Camera Platforms International Inc.",CPFR
"CHINA PHARMA HLDGS",CPHI
"CHINA PHARMACEUTICAL",CPICF
"Commerce Planet, Inc.",CPNE
"Continental Energy Corp.",CPPXF
"Cortelco Systems Puerto Rico Inc.",CPROF
"CapSource Financial Inc.",CPSO
"Composite Technology Corp.",CPTC
"Critical Path Inc.",CPTH
"CENTRAL VT PUB  4.15",CPUBN
"CENTRAL VT PUB 4.75",CPUBO
"CHALLENGER POWERBOAT",CPWB
"CLEAN POWER TECHNOLG",CPWE
"CAROLINA PWR & 5.44",CPWLP
"CAROLINA PWR & LT4.2",CPWPN
"Conspiracy Entertainment Holdings Inc.",CPYE
"CONNECTICUT RIVER",CRCA
"CONNECTICUT RIVER UT",CRCAU
"CANARC RESOURCE CORP",CRCUF
"Cardima, Inc.",CADM
"Crdentia Corp.",CRDT
"Champion Parts Inc.",CREB
"Cargo Connection Logistics Holding, Inc.",CRGO
"Circuit Research Labs Inc.",CRLI
"CREAM MINERALS LTD",CRMXF
